id,title,country,release_Date,language,duration
1,Game Over,Albania,2001-11-01,Punjabi,6.99
2,My Last Day Without You (Nie mehr ohne Dich),Germany,2012-02-16,Filipino,3.07
3,Lucky Star,Brazil,2015-10-22,Danish,5.68
4,"The Hudsucker Proxy",Chile,2006-10-03,Malagasy,2.03
5,Escaflowne: The Movie (Escaflowne),Russia,2005-08-29,Malay,2.7
6,For Ellen,Indonesia,2008-10-24,Norwegian,3.57
7,"The (Ningen no joken III) Human Condition III",Senegal,2008-05-26,Malayalam,4.28
8,The Fighting 69th,Guatemala,2001-11-14,Croatian,4.74
9,Last Stop for Paul,China,2003-12-18,Bosnian,2.78
10,Confessions of a Driving Instructor,Portugal,2003-03-28,Greek,4.23
